id	category	ko	en	jp
51	social	안녕하세요	Hello	こんにちは
52	social	잘 부탁드립니다	Nice to meet you, let's have a good game	よろしくお願いします
53	social	고마워 덕분에 살았어	Thanks, you saved me	ありがとう、おかげで助かった
54	social	미안 내 실수야	Sorry, my bad	ごめん、自分のミス
55	social	괜찮아 다음 라운드 이기면 돼	It's okay, we can win the next round	大丈夫、次のラウンド勝てばいいよ
56	social	나이스 샷 진짜 잘했다	Nice shot, well played	ナイスショット、本当にうまかった
57	social	처음 하는 맵이라 길을 잘 몰라	It's my first time on this map, I don't know my way around	このマップ初めてだから道がよくわからない
58	social	마이크가 안 돼서 채팅으로 할게	My mic isn't working, I'll use chat	マイク使えないからチャットで話すね
59	social	한국어 조금 할 줄 알아?	Do you speak a little Korean?	韓国語少し話せる？
60	social	일본어 잘 못해서 번역기 쓰고 있어	I don't speak Japanese well, I'm using a translator	日本語が苦手だから翻訳機を使ってる
61	social	어느 서버에서 주로 해?	Which server do you usually play on?	普段どのサーバーで遊んでる？
62	social	오늘 처음 이겼네 기분 좋다	My first win today, feels good	今日初めて勝てた、うれしい
63	social	잠깐 화장실 좀 다녀올게	I'll be right back, bathroom break	ちょっとトイレ行ってくる
64	social	이번 판 끝나고 밥 먹으러 갈 거야	I'm going to eat after this match	この試合が終わったらご飯食べに行く
65	social	렉이 심해서 움직이기 힘들어	It's so laggy I can barely move	ラグがひどくて動きにくい
66	social	일부러 그런 거 아니니까 화내지 마	I didn't do it on purpose, please don't get mad	わざとじゃないから怒らないで
67	social	왜 자꾸 혼자 들어가? 같이 하자	Why do you keep going in alone? Let's play together	なんでいつも一人で入るの？一緒にやろう
68	social	너 진짜 못한다 좀 조용히 해	You're terrible, just be quiet	本当に下手だな、ちょっと黙って
69	social	장난이야 진심으로 한 말 아니야	I'm joking, I didn't mean it	冗談だよ、本気で言ったわけじゃない
70	social	그건 칭찬이 아니라 비꼰 거였어	That was sarcasm, not a compliment	それは褒めたんじゃなくて皮肉だよ
71	social	오늘 피곤해서 두 판만 하고 잘래	I'm tired today, I'll play two games and go to bed	今日は疲れたから二試合だけやって寝る
72	social	같이 해줘서 고마워 다음에 또 하자	Thanks for playing with me, let's play again sometime	一緒に遊んでくれてありがとう、またやろう
73	social	이 노래 제목 아는 사람 있어?	Does anyone know the name of this song?	この曲のタイトル知ってる人いる？
74	social	내일 시험이라 오래 못 해	I have an exam tomorrow, I can't play for long	明日試験だから長くは遊べない
75	social	내가 못한 건 맞는데 그렇게까지 욕할 필요는 없잖아	I know I played badly, but you don't have to insult me like that	下手だったのは認めるけど、そこまで悪口を言う必要はないでしょ
76	social	방금 말한 건 너 말고 다른 사람한테 한 거야	What I just said was for someone else, not you	さっきのは君じゃなくて別の人に言ったんだ
77	slang	좋은 시도였어	nt	ナイストライ
78	slang	괜찮아 걱정 마	np dw	daijoubu shinpai shinaide
79	prefix	(팀) 김데피: 왼쪽 둘	(Team) Kim: two left	(チーム) キム: 左に二人
80	quoted	친구가 '왼쪽 조심해'라고 했어	My friend said 'watch left'	友達が「左に気をつけて」って言った
